image_id,xai_method,baseline,curve,auc,target_class,fractions,probabilities,actual_backend
018960069281a2d1e119d761bef56bf970d97d7642ddb98fb51b6c50f15de50d,gradcam,mean,deletion,0.6453554719686508,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9904601573944092, 0.9298496842384338, 0.96026211977005, 0.8155548572540283, 0.374419629573822, 0.38797616958618164, 0.2728648781776428, 0.41888272762298584, 0.844315230846405, 0.9125010967254639, 0.0833965390920639]",cuda
018960069281a2d1e119d761bef56bf970d97d7642ddb98fb51b6c50f15de50d,gradcam,mean,insertion,0.8975554823875428,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.0833965390920639, 0.5547307729721069, 0.9501544833183289, 0.9872856736183167, 0.9888289570808411, 0.9897492527961731, 0.9888973832130432, 0.9924720525741577, 0.9915362596511841, 0.9949716329574585, 0.9904601573944092]",cuda
018960069281a2d1e119d761bef56bf970d97d7642ddb98fb51b6c50f15de50d,gradcam,blur,deletion,0.780478686094284,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9904601573944092, 0.8210723400115967, 0.8410542011260986, 0.5504374504089355, 0.8267863392829895, 0.9299572706222534, 0.9532840847969055, 0.791271984577179, 0.74440598487854, 0.5947652459144592, 0.5130438208580017]",cuda
018960069281a2d1e119d761bef56bf970d97d7642ddb98fb51b6c50f15de50d,gradcam,blur,insertion,0.6904839731752872,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.5130438208580017, 0.007472166791558266, 0.1827288269996643, 0.768523097038269, 0.3829573690891266, 0.8692638278007507, 0.9750626087188721, 0.9944325089454651, 0.9914518594741821, 0.9811954498291016, 0.9904601573944092]",cuda
018960069281a2d1e119d761bef56bf970d97d7642ddb98fb51b6c50f15de50d,integrated_gradients,mean,deletion,0.27498731613159183,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9904601573944092, 0.6053684949874878, 0.44834575057029724, 0.1012105941772461, 0.012721533887088299, 0.05775659158825874, 0.019877901300787926, 0.04728623852133751, 0.3345796465873718, 0.5857980251312256, 0.0833965390920639]",cuda
018960069281a2d1e119d761bef56bf970d97d7642ddb98fb51b6c50f15de50d,integrated_gradients,mean,insertion,0.8872600615024567,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.0833965390920639, 0.9830061793327332, 0.9924296736717224, 0.9855814576148987, 0.8898066878318787, 0.9443967342376709, 0.9478999972343445, 0.795911967754364, 0.8577872514724731, 0.9388523101806641, 0.9904601573944092]",cuda
018960069281a2d1e119d761bef56bf970d97d7642ddb98fb51b6c50f15de50d,integrated_gradients,blur,deletion,0.3246980391442776,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9904601573944092, 0.5871791243553162, 0.6901974678039551, 0.6085202097892761, 0.3720387816429138, 0.03306179493665695, 0.04144832864403725, 0.05923352390527725, 0.07076015323400497, 0.03278890997171402, 0.5130438208580017]",cuda
018960069281a2d1e119d761bef56bf970d97d7642ddb98fb51b6c50f15de50d,integrated_gradients,blur,insertion,0.7542581260204315,1,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.5130438208580017, 0.9826958179473877, 0.993895947933197, 0.971213698387146, 0.8805685043334961, 0.9044087529182434, 0.7739555835723877, 0.2004663646221161, 0.3785434067249298, 0.7050812244415283, 0.9904601573944092]",cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,gradcam,mean,deletion,0.6940889835357666,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.944851279258728, 0.8727830648422241, 0.7016983032226562, 0.17701669037342072, 0.707769513130188, 0.2906109094619751, 0.891933262348175, 0.6824442148208618, 0.862053394317627, 0.8069159388542175, 0.950477659702301]",cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,gradcam,mean,insertion,0.8073353171348572,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.950477659702301, 0.6519873142242432, 0.940788984298706, 0.8197798728942871, 0.9334127306938171, 0.9520448446273804, 0.6639261245727539, 0.47518184781074524, 0.8202033042907715, 0.8683637380599976, 0.944851279258728]",cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,gradcam,blur,deletion,0.944728547334671,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.944851279258728, 0.9805384278297424, 0.9897398948669434, 0.9950773119926453, 0.9975318908691406, 0.9916269779205322, 0.9627086520195007, 0.9333414435386658, 0.9905960559844971, 0.9268025755882263, 0.4137928783893585]",cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,gradcam,blur,insertion,0.9657653629779817,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.4137928783893585, 0.9940882921218872, 0.9991422891616821, 0.9997560381889343, 0.999681830406189, 0.999887228012085, 0.9999759197235107, 0.9999420642852783, 0.9976109266281128, 0.9882469773292542, 0.944851279258728]",cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,integrated_gradients,mean,deletion,0.8284793555736542,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.944851279258728, 0.9719551801681519, 0.8136163353919983, 0.8383839130401611, 0.7843233942985535, 0.8733173608779907, 0.7878866791725159, 0.8538051247596741, 0.7818924188613892, 0.6319485902786255, 0.950477659702301]",cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,integrated_gradients,mean,insertion,0.7978878855705261,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.950477659702301, 0.6232582926750183, 0.9365440011024475, 0.9582104086875916, 0.9702332019805908, 0.9801415205001831, 0.7177481055259705, 0.8178407549858093, 0.3458295166492462, 0.6814085841178894, 0.944851279258728]",cuda
0218a8a6f5044ef678e3d7ccc618f463a13b7caf086180649bfaf7966daefe1b,integrated_gradients,blur,deletion,0.9516504824161529,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.944851279258728, 0.9861418604850769, 0.9862173795700073, 0.9986918568611145, 0.9992302656173706, 0.9921865463256836, 0.9755765199661255, 0.9736822843551636, 0.9534710645675659, 0.9719849228858948, 0.4137928783893585]",cuda
